Step,Value
989,0.4822516
990,0.4804382
991,0.47791964
992,0.47313863
993,0.46754348
994,0.4644232
995,0.46422043
996,0.46456754
997,0.46281517
998,0.4590935
999,0.4555183
1000,0.45399812
1001,0.45375142
1002,0.4532853
1003,0.4530751
1004,0.4537997
1005,0.45556334
1006,0.45704865
1007,0.4580696
1008,0.45921275
1009,0.46100974
1010,0.46290877
1011,0.4628155
1012,0.46239057
1013,0.46268463
1014,0.4647444
1015,0.46665367
1016,0.4673851
1017,0.466701
1018,0.46538344
1019,0.46484265
1020,0.46480316
1021,0.4650844
1022,0.46388397
1023,0.4609516
1024,0.45814314
1025,0.45749417
1026,0.45922548
1027,0.46328065
1028,0.4666608
1029,0.46908233
1030,0.47129053
1031,0.47229326
1032,0.47349012
1033,0.47414905
1034,0.4746255
1035,0.47493088
1036,0.4744691
1037,0.47561648
1038,0.47777247
1039,0.4806063
1040,0.48288196
1041,0.48667774
1042,0.49092412
1043,0.49538723
1044,0.50031304
1045,0.504023
1046,0.50860286
1047,0.5128431
1048,0.5161863
1049,0.51905936
1050,0.5217633
1051,0.5241688
1052,0.52891237
1053,0.53346485
1054,0.53718084
1055,0.53954846
1056,0.53998345
1057,0.5414109
1058,0.5424785
1059,0.5429704
1060,0.54252666
1061,0.5400587
1062,0.5403406
1063,0.5437064
1064,0.5483052
1065,0.5519112
1066,0.5568345
1067,0.56288815
1068,0.5685214
1069,0.5718685
1070,0.57310784
1071,0.5757137
1072,0.5782467
1073,0.57890344
1074,0.57842875
1075,0.5791359
1076,0.58126676
1077,0.58662516
1078,0.5914752
1079,0.59553766
1080,0.5992572
1081,0.6009836
1082,0.603006
1083,0.60340554
1084,0.6026406
1085,0.6004495
1086,0.59561205
1087,0.59326005
1088,0.5940371
1089,0.597632
1090,0.6000952
1091,0.6015637
1092,0.60056674
1093,0.5986885
1094,0.5985154
1095,0.59882015
1096,0.6012497
1097,0.6033987
1098,0.60483074
1099,0.6062272
1100,0.60834825
1101,0.61019367
1102,0.61444294
1103,0.619633
1104,0.6253145
1105,0.6307205
1106,0.63401115
1107,0.63873804
1108,0.64473736
1109,0.6496726
1110,0.652152
1111,0.65232986
1112,0.6545493
1113,0.6581404
1114,0.66136813
1115,0.66283953
1116,0.66604066
1117,0.670223
1118,0.674741
1119,0.67890763
1120,0.68166107
1121,0.68649495
1122,0.6923007
1123,0.69745785
1124,0.7015111
1125,0.70393854
1126,0.7027288
1127,0.70059496
1128,0.69781625
1129,0.69642514
1130,0.6961305
1131,0.69574606
1132,0.69835055
1133,0.7029423
1134,0.7087716
1135,0.71368426
1136,0.71717685
1137,0.72056395
1138,0.7207691
1139,0.72003746
1140,0.7174707
1141,0.71638775
1142,0.7141678
1143,0.71159023
1144,0.7120928
1145,0.7137448
1146,0.717693
1147,0.72099125
1148,0.72275424
1149,0.7246598
1150,0.72734773
1151,0.72949237
1152,0.73326164
1153,0.73716646
1154,0.7422669
1155,0.74807984
1156,0.75204444
1157,0.75623506
1158,0.7597095
1159,0.7634591
1160,0.76722807
1161,0.76918423
1162,0.772289
1163,0.7753879
1164,0.7779151
1165,0.7781973
1166,0.77851343
1167,0.7791776
1168,0.77982086
1169,0.7801064
1170,0.77812904
1171,0.7764331
1172,0.77532834
1173,0.7753825
1174,0.7771308
1175,0.78039485
1176,0.784715
1177,0.7919787
1178,0.7993503
1179,0.805237
1180,0.8088286
1181,0.8113013
1182,0.8160563
1183,0.82216126
1184,0.8278463
1185,0.83188665
1186,0.834703
1187,0.83776116
1188,0.8406233
1189,0.8436548
1190,0.84586287
1191,0.84748995
1192,0.84828573
1193,0.8489035
1194,0.8497153
1195,0.8486167
1196,0.8466628
1197,0.84584415
1198,0.8458346
1199,0.8458295
1200,0.8458419
1201,0.8456145
1202,0.8450228
1203,0.8444421
1204,0.8446409
1205,0.846154
1206,0.847865
1207,0.8490617
1208,0.8511045
1209,0.8535447
1210,0.85557884
1211,0.85643727
1212,0.8558121
1213,0.85466206
1214,0.8525734
1215,0.8505108
1216,0.8479882
1217,0.8471599
1218,0.84730273
1219,0.84650487
1220,0.84649426
1221,0.84620994
1222,0.84595984
1223,0.8448206
1224,0.84245855
1225,0.83983326
1226,0.83774376
1227,0.8337897
1228,0.8297526
1229,0.8251569
1230,0.81982
1231,0.8160979
1232,0.8126814
1233,0.8111634
1234,0.80941015
1235,0.80622065
1236,0.80310595
1237,0.79893476
1238,0.79661494
1239,0.7955121
1240,0.7951921
1241,0.7909062
1242,0.78551435
1243,0.781056
1244,0.7781539
1245,0.77699417
1246,0.7748002
1247,0.7744075
1248,0.77581215
1249,0.7767089
1250,0.7748722
1251,0.7718601
1252,0.7662076
1253,0.7615757
1254,0.759019
1255,0.75844693
1256,0.75868225
1257,0.75436693
1258,0.7481576
1259,0.7415729
1260,0.7360682
1261,0.73194325
1262,0.72661346
1263,0.7234757
1264,0.72303146
1265,0.7251841
1266,0.7235658
1267,0.7193794
1268,0.714449
1269,0.7103889
1270,0.70965713
1271,0.7070717
1272,0.7025706
1273,0.6962471
1274,0.6894029
1275,0.6848681
1276,0.6849854
1277,0.6847582
1278,0.68497205
1279,0.68526834
1280,0.6865222
1281,0.6885631
1282,0.68672216
1283,0.6840679
1284,0.6808558
1285,0.67780864
1286,0.67627466
1287,0.67283005
1288,0.66983724
1289,0.6653538
1290,0.6627805
1291,0.6596563
1292,0.6578395
1293,0.65588427
1294,0.6517887
1295,0.6490927
1296,0.64444315
1297,0.63979715
1298,0.6356427
1299,0.6318725
1300,0.627993
1301,0.62523633
1302,0.61918795
1303,0.61247516
1304,0.60590667
1305,0.60006934
1306,0.59704393
1307,0.59224135
1308,0.58738285
1309,0.5827342
1310,0.5780884
1311,0.57569593
1312,0.57040733
1313,0.5633843
1314,0.5539866
1315,0.5460277
1316,0.537038
1317,0.5290587
1318,0.521543
1319,0.51445764
1320,0.51000327
1321,0.5040816
1322,0.49961144
1323,0.4969113
1324,0.49462175
1325,0.4897489
1326,0.48580548
1327,0.48064548
1328,0.4762435
1329,0.4714651
1330,0.4656526
1331,0.46270186
1332,0.45900607
1333,0.45503718
1334,0.44948605
1335,0.4419593
1336,0.43505928
1337,0.42739156
1338,0.42303476
1339,0.4198774
1340,0.41912428
1341,0.41636807
1342,0.4130847
1343,0.40924925
1344,0.40460923
1345,0.4030744
1346,0.40062615
1347,0.39714956
1348,0.3919293
1349,0.38574767
1350,0.3809502
1351,0.3789994
1352,0.3750451
1353,0.37023735
1354,0.36442706
1355,0.3587709
1356,0.3549431
1357,0.3497311
1358,0.34463766
1359,0.33930826
1360,0.333972
1361,0.3301235
1362,0.32569274
1363,0.32311732
1364,0.32268128
1365,0.32399637
1366,0.32241744
1367,0.31942308
1368,0.31613642
1369,0.31329095
1370,0.31158233
1371,0.30834123
1372,0.3049248
1373,0.30103898
1374,0.29671806
1375,0.2929344
1376,0.2907556
1377,0.28806385
1378,0.28642228
1379,0.2860581
1380,0.2863978
1381,0.28700122
1382,0.28657466
1383,0.28788236
1384,0.2893867
1385,0.28936255
1386,0.28849536
1387,0.2860305
1388,0.28263488
1389,0.27697265
1390,0.27076536
1391,0.26499435
1392,0.26151794
1393,0.25952122
1394,0.25787163
1395,0.25769764
1396,0.25855112
1397,0.2598513
1398,0.26020736
1399,0.25970167
1400,0.25932476
1401,0.2587257
1402,0.25700232
1403,0.25456056
1404,0.2523735
1405,0.25143528
1406,0.2508569
1407,0.2500423
1408,0.24930461
1409,0.24865375
1410,0.24827245
1411,0.24830875
1412,0.2482789
1413,0.24749629
1414,0.24452938
1415,0.24075285
1416,0.23792432
1417,0.23603474
1418,0.23465262
1419,0.23273693
1420,0.23130764
1421,0.23064116
1422,0.23006387
1423,0.2293594
1424,0.22827621
1425,0.22795153
1426,0.22889203
1427,0.23110361
1428,0.23334642
1429,0.23327367
1430,0.23127684
1431,0.23017746
1432,0.23220028
1433,0.23603444
1434,0.23888373
1435,0.24000667
1436,0.23994091
1437,0.24004543
1438,0.24119861
1439,0.24255298
1440,0.24372381
1441,0.24454397
1442,0.24410504
1443,0.24343786
1444,0.24242705
1445,0.24168043
1446,0.24163991
1447,0.24159534
1448,0.24165095
1449,0.24102129
1450,0.24064462
1451,0.24023452
1452,0.24012093
1453,0.23985331
1454,0.23831773
1455,0.23656239
1456,0.23546481
1457,0.23641571
1458,0.23835929
1459,0.24049269
1460,0.24320868
1461,0.24596374
1462,0.2483583
1463,0.24907953
1464,0.24894933
1465,0.24805985
1466,0.24789642
1467,0.24892333
1468,0.2513578
1469,0.25377384
1470,0.25583637
1471,0.25883958
1472,0.26127154
1473,0.2622438
1474,0.26176122
1475,0.26267573
1476,0.26525074
1477,0.2704218
1478,0.2757502
1479,0.27961177
1480,0.2828563
1481,0.2845905
1482,0.2874561
1483,0.29181474
1484,0.29624772
1485,0.30034426
1486,0.30224717
1487,0.30503827
1488,0.30889088
1489,0.3122001
1490,0.3138146
1491,0.31569916
1492,0.316179
1493,0.31726792
1494,0.32047594
1495,0.3236064
1496,0.32780805
1497,0.3313342
1498,0.33472586
1499,0.33794805
1500,0.34065914
1501,0.34244028
1502,0.34620246
1503,0.34974164
1504,0.35224614
1505,0.35362834
1506,0.35414916
1507,0.35708842
1508,0.36038983
1509,0.3631899
1510,0.3644939
1511,0.36348376
1512,0.3638961
1513,0.36551258
1514,0.36916265
1515,0.37221217
1516,0.37570792
1517,0.37901032
1518,0.381001
1519,0.38096207
1520,0.37677947
1521,0.37230158
1522,0.36906624
1523,0.36914757
1524,0.37237042
1525,0.37635204
1526,0.3786082
1527,0.38299525
1528,0.38978678
1529,0.39916646
1530,0.4088139
1531,0.41597337
1532,0.42272064
1533,0.4274626
1534,0.43151614
1535,0.43647924
1536,0.44200486
1537,0.44893575
1538,0.45416892
1539,0.45897794
1540,0.46221492
1541,0.46618885
1542,0.46808806
1543,0.46931648
1544,0.47236168
1545,0.47562838
1546,0.48025155
1547,0.48370767
1548,0.48618954
1549,0.48877317
1550,0.49143383
1551,0.4937362
1552,0.49792635
1553,0.50150794
1554,0.5036852
1555,0.5040276
1556,0.5039752
1557,0.5072564
1558,0.51243824
1559,0.5185409
1560,0.524303
1561,0.52980924
1562,0.53500247
1563,0.53709346
1564,0.5375808
1565,0.53619134
1566,0.53502893
1567,0.5332424
1568,0.5311757
1569,0.5299981
1570,0.5278298
1571,0.52604306
1572,0.5252378
1573,0.52499884
1574,0.52530766
1575,0.52559465
1576,0.5246358
1577,0.52338415
1578,0.52255285
1579,0.524136
1580,0.5281523
1581,0.5317019
1582,0.53470445
1583,0.53804195
1584,0.5417054
1585,0.54436177
1586,0.54389644
1587,0.5429758
1588,0.5430847
1589,0.54426074
1590,0.545115
1591,0.54500115
1592,0.54335666
1593,0.54100156
1594,0.53938156
1595,0.538844
1596,0.53864336
1597,0.53735423
1598,0.5359843
1599,0.5353998
1600,0.53526425
1601,0.5344513
1602,0.53247124
1603,0.5302357
1604,0.52868164
1605,0.52766854
1606,0.5260315
1607,0.5232344
1608,0.51902854
1609,0.5155772
1610,0.5136635
